normalized_url,page_type,name,h1,machine_types,category,price_from,has_spec_table,has_video,in_sitemap,source_url,data_review_required,notes
https://st-technics.ru/,homepage,Главная,СТ-ТЕХНИКС — завод по производству навесного оборудования на спецтехнику,,,,no,no,yes,https://st-technics.ru/,no,lastmod 2026-08-26
https://st-technics.ru/oborydovanie,catalog-hub,Оборудование,ОБОРУДОВАНИЕ,,cat-oborudovanie,,no,no,yes,https://st-technics.ru/oborydovanie,no,49 ссылок на товары
https://st-technics.ru/type-technics,machine-types-hub,Тип техники,ТИП ТЕХНИКИ,,,,no,no,yes,https://st-technics.ru/type-technics,no,7 карточек
https://st-technics.ru/oplata-i-dostavka,info,Оплата и Доставка,,,,,no,no,yes,https://st-technics.ru/oplata-i-dostavka,no,title/meta NOT VERIFIED
https://st-technics.ru/contacts,info,Контакты,,,,,no,no,yes,https://st-technics.ru/contacts,yes,адрес искажён в извлечении (DR-06)
https://st-technics.ru/privacy,legal,Политика конфиденциальности,Политика конфиденциальности,,,,no,no,no,https://st-technics.ru/privacy,yes,"ООО ""СТ-ТЕХНИКС1""; robots Disallow; alias page25073714.html"
https://st-technics.ru/ostalis-voprosu,form-block,Остались вопросы?,Остались вопросы?,,,,no,no,yes,https://st-technics.ru/ostalis-voprosu,no,блок формы обратной связи
https://st-technics.ru/pop-up,system-popup,Оформление заказа (popup),,,,,no,no,yes,https://st-technics.ru/pop-up,no,Tilda popup Блок Купить
https://st-technics.ru/page63841391.html,duplicate-product,Ковш общестроительный (дубль),КОВШ ОБЩЕСТРОИТЕЛЬНЫЙ,,cat-oborudovanie,,,,yes,https://st-technics.ru/page63841391.html,yes,дубль /kovsh-obshchestroitelnyj (DR-02)
https://st-technics.ru/minipogruzchik,machine-type,Минипогрузчик,ОБОРУДОВАНИЕ ДЛЯ МИНИПОГРУЗЧИКА,mt-minipogruzchik,,,no,no,yes,https://st-technics.ru/minipogruzchik,no,
https://st-technics.ru/vilochnyj-pogruzchik,machine-type,Вилочный погрузчик,ОБОРУДОВАНИЕ ДЛЯ ВИЛОЧНОГО ПОГРУЗЧИКА,mt-vilochnyj-pogruzchik,,,no,no,yes,https://st-technics.ru/vilochnyj-pogruzchik,no,
https://st-technics.ru/ehkskavator-pogruzchik,machine-type,Экскаватор-погрузчик,ОБОРУДОВАНИЕ ДЛЯ ЭКСКАВАТОРА-ПОГРУЗЧИКА,mt-ehkskavator-pogruzchik,,,no,no,yes,https://st-technics.ru/ehkskavator-pogruzchik,no,
https://st-technics.ru/frontalnyj-pogruzchik,machine-type,Фронтальный погрузчик,ОБОРУДОВАНИЕ ДЛЯ ФРОНТАЛЬНОГО ПОГРУЗЧИКА,mt-frontalnyj-pogruzchik,,,no,no,yes,https://st-technics.ru/frontalnyj-pogruzchik,no,
https://st-technics.ru/teleskopicheskij-pogruzchik,machine-type,Телескопический погрузчик,ОБОРУДОВАНИЕ ДЛЯ ТЕЛЕСКОПИЧЕСКОГО ПОГРУЗЧИКА,mt-teleskopicheskij-pogruzchik,,,no,no,yes,https://st-technics.ru/teleskopicheskij-pogruzchik,no,
https://st-technics.ru/traktor,machine-type,Трактор (МТЗ),ОБОРУДОВАНИЕ ДЛЯ ТРАКТОРА,mt-traktor,,,no,no,yes,https://st-technics.ru/traktor,no,Тело страницы уточняет 'для трактора МТЗ'.
https://st-technics.ru/mini-ehkskavator,machine-type,Мини-экскаватор,ОБОРУДОВАНИЕ ДЛЯ МИНИ-ЭКСКАВАТОРА,mt-mini-ehkskavator,,,no,no,yes,https://st-technics.ru/mini-ehkskavator,no,
